,IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree,prestige
2300,170,2,Female,White,30,Divorced,NA,Middle atlantic,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Public,25000,53,Working fulltime,0,Private,Construction,46,48
2630,353,1,Female,White,70,Widowed,0,W. nor. central,1,NA,NA,Bachelor,Pre-Health & Medicine,40-57.9%,468+,Private,NA,1,Retired,0,Government,Elementary and secondary schools,88,NA
3018,568,1,Female,Other,31,Married,Big-city suburb,Foreign,0,No,No,Graduate,Pre-Health & Medicine,0-39.9%,468+,Public,25000,35,Working fulltime,0,Government,"Colleges and universities, including junior colleges",88,NA
3405,786,1,Male,White,15,Married,0,E. nor. central,1,No,No,Graduate,Pre-Health & Medicine,58%+,468+,Public,25000,51,Working fulltime,0,Government,"Colleges and universities, including junior colleges",88,NA
3631,911,2,Female,White,57,Never married,50000,E. nor. central,1,No,No,Bachelor,Pre-Health & Medicine,0-39.9%,468+,Public,20000,34,Working parttime,1,Private,"Accounting, tax preparation, bookkeeping, and payroll services",64,23
3914,1069,1,Male,White,46,Married,0,E. nor. central,1,NA,NA,Bachelor,Pre-Health & Medicine,NA,NA,none,NA,1,Retired,0,Government,Administration of economic programs and space research,76,NA
102,2001,2,Female,White,35,Married,0,Middle atlantic,0,No,No,Graduate,Pre-Health & Medicine,NA,NA,none,25000,35,Working fulltime,0,Private,Offices of physicians,48,65
118,2089,2,Female,White,39,Never married,50000,Middle atlantic,0,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Public,25000,24,Working fulltime,0,Private,Other health care services,62,0
141,2223,2,Male,White,34,Divorced,Big-city suburb,Middle atlantic,1,NA,NA,Junior college,Pre-Health & Medicine,40-57.9%,468+,Private,NA,84,Other,0,Private,Truck transportation,66,38
281,458,1,Male,Black,61,Divorced,250000,Pacific,1,No,No,Bachelor,Pre-Health & Medicine,NA,0-467,Private,3000,18,Working parttime,1,Private,Private households,8,NA
464,1469,2,Male,White,52,Divorced,NA,E. sou. central,1,No,No,Graduate,Pre-Health & Medicine,NA,468+,Private,25000,72,Working parttime,1,Private,"Colleges and universities, including junior colleges",3,NA
1241,2125,1,Female,Black,15,Divorced,Big-city suburb,South atlantic,1,No,No,Junior college,Pre-Health & Medicine,NA,468+,Public,NA,24,Working parttime,0,Private,Nursing care facilities,31,NA
1840,2457,2,Female,White,21,Married,NA,W. nor. central,1,NA,NA,Graduate,Pre-Health & Medicine,58%+,468+,Public,25000,14,Working parttime,0,Private,Outpatient care centers,3,51
2384,216,2,Male,White,12,Never married,NA,E. nor. central,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Public,25000,35,Working fulltime,0,Private,Hospitals,87,61
2431,243,2,Female,White,9,Never married,Big-city suburb,E. nor. central,1,NA,NA,Graduate,Pre-Health & Medicine,58%+,468+,Private,NA,84,School,NA,NA,NA,1,24
2646,362,2,Male,White,23,Married,Big-city suburb,E. nor. central,1,NA,NA,Graduate,Pre-Health & Medicine,58%+,468+,Public,25000,46,Working fulltime,0,Private,Outpatient care centers,3,48
3128,629,1,Female,White,38,Divorced,50000,Mountain,1,NA,NA,Junior college,Arts,NA,NA,none,NA,1,"Unempl, laid off",0,Private,Support activities for agriculture and forestry,48,NA
3164,649,1,Female,White,31,Divorced,50000,Foreign,1,No,No,Graduate,Arts,NA,NA,none,25000,35,Working fulltime,0,Private,Hospitals,3,NA
3680,939,2,Male,White,30,Divorced,0,E. nor. central,1,No,No,Junior college,Arts,NA,468+,Public,25000,69,Working fulltime,0,Private,Automobile dealers,45,38
3911,1066,1,Female,White,19,Married,NA,South atlantic,1,No,No,Graduate,Arts,NA,468+,Private,25000,35,Working fulltime,1,Private,Offices of optometrists,3,NA
4224,1397,2,Female,White,47,Married,50000,W. sou. central,1,NA,NA,Junior college,Arts,NA,468+,Public,NA,84,Keeping house,0,Government,"Justice, public order, and safety activities",48,NA
4348,1534,2,Male,White,23,Divorced,NA,E. nor. central,1,No,No,Graduate,Pre-Health & Medicine,58%+,468+,Public,25000,79,Working fulltime,0,Private,Hospitals,3,NA
532,1730,1,Male,White,54,Married,0,E. nor. central,1,No,No,Bachelor,Pre-Health & Medicine,NA,NA,none,25000,57,Working fulltime,1,Government,Shoe stores,45,NA
2071,43,1,Female,White,22,Married,50000,Pacific,1,No,No,Graduate,Pre-Health & Medicine,58%+,468+,Private,25000,35,Working fulltime,0,Private,"Colleges and universities, including junior colleges",71,NA
2370,208,1,Female,White,46,Married,NA,South atlantic,1,No,No,Bachelor,Pre-Health & Medicine,40-57.9%,468+,Public,NA,46,Working fulltime,0,Government,Elementary and secondary schools,88,NA
2788,440,1,Female,White,25,Married,50000,Middle atlantic,1,No,No,Graduate,Pre-Health & Medicine,58%+,468+,Private,25000,57,Working fulltime,0,Government,"Colleges and universities, including junior colleges",88,NA
3515,847,2,Female,White,61,Widowed,50000,E. nor. central,1,No,No,Graduate,Pre-Health & Medicine,58%+,468+,Public,NA,3,Working parttime,0,Private,Religious organizations,63,35
217,102,1,Female,Black,38,Divorced,250000,Middle atlantic,1,NA,NA,Graduate,Pre-Health & Medicine,40-57.9%,468+,Public,NA,1,"Unempl, laid off",0,Private,Hospitals,1,NA
484,1580,2,Female,Other,34,Never married,50000,Pacific,1,No,No,Graduate,Pre-Health & Medicine,40-57.9%,468+,Private,25000,57,Working fulltime,0,Private,Hospitals,75,NA
504,1691,1,Female,White,36,Married,250000,E. nor. central,1,NA,NA,Bachelor,Pre-Health & Medicine,40-57.9%,468+,Public,NA,84,Keeping house,0,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",87,NA
550,1740,1,Female,White,57,Married,50000,E. nor. central,1,NA,NA,Bachelor,Pre-Health & Medicine,NA,NA,none,NA,1,Retired,0,Private,Hospitals,87,NA
577,1755,1,Female,Black,28,Married,250000,Foreign,0,No,No,Junior college,Pre-Health & Medicine,NA,468+,Public,NA,35,Working fulltime,0,Private,Nursing care facilities,1,NA
670,1807,1,Female,White,32,Married,Big-city suburb,New england,1,No,No,Bachelor,Pre-Health & Medicine,40-57.9%,468+,Public,25000,43,Working fulltime,0,Private,"Residential care facilities, without nursing",87,NA
734,1842,1,Female,White,17,Divorced,50000,New england,1,NA,NA,Junior college,Pre-Health & Medicine,NA,468+,Public,25000,84,Keeping house,0,Private,Hospitals,87,NA
1078,2033,1,Female,White,13,Married,Big-city suburb,Middle atlantic,0,No,No,Junior college,Pre-Health & Medicine,NA,0-467,Private,25000,17,Working parttime,0,Private,Hospitals,87,NA
1153,2075,2,Female,Black,28,Married,250000,Foreign,0,No,No,Junior college,Pre-Health & Medicine,NA,NA,none,NA,35,Working fulltime,0,Private,Hospitals,31,31
1372,2196,1,Female,Other,40,Separated,50000,Foreign,0,NA,NA,Bachelor,Pre-Health & Medicine,NA,NA,none,NA,1,Retired,0,Private,Home health care services,31,NA
1397,2210,2,Female,White,33,Married,0,W. sou. central,1,NA,NA,Junior college,Pre-Health & Medicine,NA,468+,Public,NA,84,Keeping house,0,Private,Home health care services,87,56
1598,2321,1,Female,White,64,Widowed,50000,Foreign,0,NA,NA,Bachelor,Pre-Health & Medicine,NA,0-467,Private,NA,1,Retired,0,Private,Hospitals,87,NA
1648,2350,2,Female,White,8,Never married,0,E. nor. central,1,NA,NA,Junior college,Pre-Health & Medicine,0-39.9%,468+,Private,NA,84,Keeping house,0,Private,Nursing care facilities,31,51
1718,2388,2,Female,Other,17,Never married,250000,W. sou. central,1,No,No,Junior college,Pre-Health & Medicine,NA,NA,none,25000,7,Working parttime,0,Private,Real estate,58,39
1912,2496,2,Female,White,42,Divorced,Big-city suburb,E. nor. central,1,No,No,Junior college,Pre-Health & Medicine,NA,NA,none,25000,26,Working fulltime,0,Private,Hospitals,58,54
1924,2503,1,Female,White,48,Married,250000,E. nor. central,1,No,No,Junior college,Pre-Health & Medicine,NA,468+,Public,NA,34,Working parttime,1,Private,"Sporting and athletic goods, and doll, toy and game manufacturing",49,NA
2112,65,2,Female,White,24,Married,50000,W. sou. central,1,NA,NA,Bachelor,Pre-Health & Medicine,58%+,468+,Public,25000,57,Working fulltime,0,Private,Scientific research and development services,86,28
2245,140,2,Female,White,9,Never married,0,Pacific,1,No,No,Junior college,Pre-Health & Medicine,NA,468+,Public,NA,10,Working parttime,0,Private,Home health care services,31,34
2259,148,2,Female,White,38,Divorced,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Pre-Health & Medicine,40-57.9%,468+,Private,25000,57,Working fulltime,0,Private,Insurance carriers and related activities,55,70
2274,155,1,Female,White,10,Married,0,South atlantic,1,No,No,Junior college,Pre-Health & Medicine,NA,468+,Public,25000,43,Working fulltime,0,Government,Hospitals,87,NA
2418,235,1,Female,White,43,Married,Big-city suburb,South atlantic,1,NA,NA,Junior college,Pre-Health & Medicine,NA,468+,Public,NA,84,Keeping house,0,Private,Hospitals,87,NA
2470,264,1,Female,White,35,Divorced,50000,Middle atlantic,0,No,No,Junior college,Pre-Health & Medicine,NA,468+,Public,25000,31,Working fulltime,0,Private,Hospitals,87,NA
2593,332,1,Male,White,37,Married,250000,South atlantic,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Public,25000,57,Working fulltime,0,Private,Automobile dealers,46,NA
2636,356,2,Female,White,41,Married,0,E. nor. central,0,No,No,Bachelor,Pre-Health & Medicine,40-57.9%,468+,Public,25000,26,Working parttime,0,Private,Hospitals,87,65
2702,393,1,Female,White,25,Married,0,South atlantic,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Public,25000,57,Working fulltime,0,Private,Hospitals,87,NA
2900,503,1,Female,White,11,Married,50000,E. nor. central,1,NA,NA,Bachelor,Pre-Health & Medicine,NA,NA,none,25000,84,Temp not working,0,Private,Hospitals,87,NA
3062,593,1,Female,White,72,Widowed,50000,W. sou. central,1,NA,NA,Junior college,Pre-Health & Medicine,58%+,468+,Private,NA,1,Retired,0,Government,"Colleges and universities, including junior colleges",88,NA
3072,598,1,Female,White,42,Married,0,W. sou. central,1,No,No,Junior college,Pre-Health & Medicine,NA,468+,Public,NA,46,Working fulltime,0,Private,Hospitals,31,NA
3182,659,2,Female,White,19,Married,50000,South atlantic,1,No,No,Junior college,Pre-Health & Medicine,NA,468+,Public,25000,46,Working fulltime,0,Private,Hospitals,58,47
3342,750,1,Female,White,29,Divorced,0,South atlantic,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Public,25000,46,Working fulltime,0,Government,Outpatient care centers,87,NA
3559,871,2,Female,White,9,Married,0,South atlantic,1,No,No,Bachelor,Pre-Health & Medicine,40-57.9%,468+,Public,25000,43,Working fulltime,0,Private,Hospitals,87,35
3659,927,1,Female,White,44,Divorced,NA,E. nor. central,1,No,No,Bachelor,Pre-Health & Medicine,58%+,468+,Public,25000,26,Working fulltime,0,Private,Hospitals,87,NA
3717,959,1,Female,White,48,Married,0,E. nor. central,1,NA,NA,Junior college,Pre-Health & Medicine,40-57.9%,468+,Public,NA,1,Retired,0,Private,Hospitals,87,NA
3823,1018,2,Female,White,41,Married,NA,W. nor. central,1,NA,NA,Graduate,Multi-disciplinary/other,NA,468+,Public,25000,57,Working fulltime,0,Private,Hospitals,58,48
3901,1061,1,Female,White,45,Divorced,250000,Middle atlantic,1,No,No,Junior college,Multi-disciplinary/other,40-57.9%,468+,Private,25000,58,Working fulltime,0,Private,Hospitals,87,NA
4124,1286,2,Female,White,14,Never married,50000,Pacific,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,5000,38,Working fulltime,0,Private,Hospitals,87,NA
4218,1390,2,Female,White,14,Married,50000,South atlantic,1,No,No,Graduate,Multi-disciplinary/other,NA,NA,none,25000,52,Working fulltime,0,Private,Hospitals,72,NA
4271,1450,2,Female,White,22,Married,NA,W. sou. central,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,25000,21,Working fulltime,0,Private,Hospitals,87,NA
4376,1566,2,Male,White,38,Married,0,E. nor. central,1,NA,NA,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Public,25000,30,Working parttime,0,Private,Hospitals,87,NA
940,1957,1,Female,Other,31,Married,250000,Foreign,0,No,No,Graduate,Multi-disciplinary/other,NA,NA,none,25000,35,Working fulltime,0,Private,Pharmaceutical and medicine manufacturing,3,NA
990,1984,2,Female,White,40,Married,Big-city suburb,Pacific,1,No,No,Graduate,Multi-disciplinary/other,58%+,468+,Private,25000,26,Working fulltime,0,Private,"Management, scientific, and technical consulting services",54,61
1794,2430,2,Female,White,21,Married,50000,W. sou. central,1,No,No,Bachelor,Multi-disciplinary/other,40-57.9%,468+,Private,20000,21,Working parttime,0,Private,Pharmacies and drug stores,55,39
2140,81,1,Female,Other,20,Never married,50000,Middle atlantic,1,No,No,Junior college,Multi-disciplinary/other,NA,NA,none,25000,8,Working fulltime,0,Government,Elementary and secondary schools,88,NA
2774,432,1,Female,White,29,Married,Big-city suburb,E. nor. central,1,No,No,Graduate,Multi-disciplinary/other,58%+,468+,Public,15000,24,Working parttime,0,Private,"Colleges and universities, including junior colleges",88,NA
3118,623,2,Male,White,37,Married,0,E. nor. central,1,No,No,Junior college,Multi-disciplinary/other,NA,NA,Public,25000,46,Working fulltime,0,Private,"Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",85,74
3779,993,2,Female,White,24,Married,NA,E. nor. central,1,NA,NA,Junior college,Multi-disciplinary/other,NA,NA,none,25000,35,Working fulltime,0,Private,"Colleges and universities, including junior colleges",54,36
4017,1167,2,Male,White,43,Divorced,Big-city suburb,Mountain,1,NA,NA,Bachelor,Multi-disciplinary/other,0-39.9%,468+,Public,NA,1,Retired,0,Private,Automobile dealers,46,NA
4347,1533,2,Female,White,42,Married,0,Middle atlantic,1,Yes,No,Junior college,Multi-disciplinary/other,0-39.9%,468+,Private,25000,51,Working fulltime,0,Private,Newspaper publishers,83,NA
1257,2133,2,Female,White,44,Married,Big-city suburb,Middle atlantic,1,NA,NA,Junior college,Multi-disciplinary/other,40-57.9%,468+,Public,25000,84,Other,0,Private,Offices of physicians,54,64
1643,2348,1,Female,White,25,Divorced,NA,Middle atlantic,1,No,No,Junior college,Multi-disciplinary/other,NA,468+,Public,10000,35,Working fulltime,0,Private,Department stores and discount stores,67,NA
1747,2405,1,Male,White,17,Married,0,W. sou. central,1,No,No,Junior college,Multi-disciplinary/other,NA,0-467,Private,20000,35,Working fulltime,1,NA,Beauty salons,28,NA
2000,4,1,Male,White,39,Separated,50000,New england,1,No,No,Junior college,Natural Resources & Environment,NA,468+,Public,25000,35,Working fulltime,0,Private,Construction,27,NA
2030,20,2,Female,White,42,Married,NA,E. nor. central,1,NA,NA,Junior college,Pre-Health & Medicine,NA,468+,Public,NA,84,Keeping house,0,Private,"Groceries and related products, merchant wholesalers",81,37
2159,92,2,Female,White,12,Married,0,Foreign,0,NA,NA,Junior college,Pre-Health & Medicine,NA,NA,none,NA,84,Keeping house,NA,NA,NA,1,44
2369,208,2,Female,White,25,Married,0,E. sou. central,1,No,No,Junior college,Education,NA,NA,none,20000,35,Working fulltime,0,Private,Barber shops,28,35
3967,1110,2,Female,White,13,Divorced,50000,W. sou. central,1,No,No,Junior college,Education,NA,NA,none,25000,40,Working fulltime,1,Private,Beauty salons,28,NA
4009,1159,2,Female,White,60,Widowed,0,Foreign,0,NA,NA,Junior college,Education,NA,NA,none,NA,84,Keeping house,1,Private,"Health and personal care, except drug, stores",45,0
2288,163,1,Female,White,26,Married,NA,South atlantic,1,No,No,Bachelor,Education,40-57.9%,468+,Private,25000,35,Working fulltime,0,Government,Hospitals,75,NA
146,2245,1,Male,White,30,Married,250000,Foreign,1,No,No,Bachelor,Education,NA,NA,none,25000,20,Working fulltime,1,Private,Pharmacies and drug stores,88,NA
1182,2091,1,Male,Black,13,Never married,50000,Foreign,0,No,No,Graduate,Education,0-39.9%,468+,Public,25000,39,Working fulltime,0,Private,Not specified retail trade,88,NA
284,469,2,Male,White,23,Married,Big-city suburb,Middle atlantic,1,No,No,Graduate,Education,58%+,468+,Private,25000,57,Working fulltime,0,Government,Elementary and secondary schools,88,33
648,1795,2,Male,White,41,Married,250000,E. nor. central,1,No,No,Bachelor,Education,58%+,468+,Public,25000,35,Working fulltime,0,Government,"Justice, public order, and safety activities",79,38
794,1875,1,Male,Other,38,Divorced,50000,Pacific,1,No,No,Bachelor,Physical Sciences,40-57.9%,468+,Public,25000,37,Working fulltime,0,Private,"Groceries and related products, merchant wholesalers",54,NA
1500,2268,1,Female,White,37,Never married,NA,W. nor. central,1,No,No,Bachelor,Physical Sciences,58%+,468+,Public,15000,35,Working fulltime,0,Private,Legal services,63,NA
2056,34,1,Male,White,5,Never married,0,Middle atlantic,1,No,No,Bachelor,Physical Sciences,58%+,468+,Public,NA,32,Working fulltime,0,Private,"Miscellaneous durable goods, merchant wholesalers",49,NA
2385,217,1,Male,White,7,Never married,50000,South atlantic,0,No,No,Bachelor,Social Sciences,40-57.9%,468+,Public,NA,26,Working parttime,0,Private,"Residential care facilities, without nursing",74,NA
3595,892,1,Female,White,16,Married,0,E. nor. central,1,NA,NA,Bachelor,Social Sciences,NA,0-467,Private,1000,84,Keeping house,0,Private,Child day care services,49,NA
4498,1701,2,Male,White,32,Married,0,Middle atlantic,1,No,No,Bachelor,Social Sciences,0-39.9%,468+,Public,25000,35,Working fulltime,0,Government,Elementary and secondary schools,88,NA
641,1792,2,Male,White,10,Never married,0,E. nor. central,1,NA,NA,Bachelor,Social Sciences,58%+,468+,Public,NA,84,School,NA,NA,NA,1,38
1954,2519,2,Male,White,60,Never married,NA,W. sou. central,1,NA,NA,Bachelor,Social Sciences,NA,NA,none,NA,1,Retired,1,Private,"Management, scientific, and technical consulting services",3,65
3116,622,1,Male,White,41,Married,250000,W. sou. central,1,No,No,Graduate,Social Sciences,0-39.9%,468+,Public,25000,35,Working fulltime,0,Government,"Colleges and universities, including junior colleges",88,NA
9,1989,1,Female,Black,53,Separated,0,Middle atlantic,1,NA,NA,Bachelor,Social Sciences,40-57.9%,468+,Public,NA,1,Retired,0,Government,"Justice, public order, and safety activities",45,NA
335,757,1,Female,Other,11,Never married,Big-city suburb,Pacific,1,No,No,Bachelor,Social Sciences,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,Insurance carriers and related activities,65,NA
607,1773,2,Male,Black,43,Married,50000,South atlantic,1,No,No,Bachelor,Social Sciences,58%+,468+,Private,25000,57,Working fulltime,1,Private,"Securities, commodities, funds, trusts, and other financial investments",76,47
656,1799,1,Male,White,8,Never married,NA,South atlantic,1,Yes,No,Bachelor,Social Sciences,58%+,468+,Private,25000,77,Working fulltime,0,Private,Offices of other health practitioners,81,NA
752,1852,2,Male,White,46,Married,250000,South atlantic,1,No,No,Bachelor,Social Sciences,58%+,468+,Public,25000,13,Working parttime,0,Private,Investigation and security services,55,53
820,1891,2,Female,White,17,Married,0,W. nor. central,1,No,No,Bachelor,Social Sciences,58%+,468+,Private,25000,2,Working fulltime,0,Private,Elementary and secondary schools,88,39
858,1911,1,Male,White,46,Divorced,250000,W. sou. central,1,No,No,Bachelor,Social Sciences,40-57.9%,468+,Public,NA,46,Working fulltime,1,Private,Real estate,58,NA
932,1952,1,Male,White,29,Married,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Social Sciences,58%+,468+,Private,25000,35,Working fulltime,0,Private,Insurance carriers and related activities,65,NA
1090,2040,1,Female,Black,41,Never married,Big-city suburb,South atlantic,1,No,No,Bachelor,Social Sciences,0-39.9%,468+,Public,NA,35,Working fulltime,0,Government,Elementary and secondary schools,88,NA
1105,2049,2,Female,Other,21,Married,250000,Foreign,0,NA,NA,Bachelor,Social Sciences,NA,NA,none,25000,84,Keeping house,1,Private,Individual and family services,69,73
1135,2065,2,Female,White,27,Married,Big-city suburb,E. sou. central,1,NA,NA,Bachelor,Social Sciences,58%+,468+,Private,NA,84,Keeping house,NA,NA,NA,1,61
1949,2517,1,Male,White,48,Married,0,Mountain,1,No,No,Bachelor,Social Sciences,40-57.9%,468+,Public,25000,57,Working fulltime,1,Private,Construction,46,NA
2444,250,1,Female,White,50,Married,Big-city suburb,Foreign,1,NA,NA,Graduate,Social Sciences,58%+,468+,Private,NA,1,Retired,0,Government,U.s. armed forces/n.s.,66,NA
2819,459,2,Male,White,16,Never married,0,Middle atlantic,1,No,No,Bachelor,Social Sciences,40-57.9%,468+,Public,25000,35,Working fulltime,0,Government,"Securities, commodities, funds, trusts, and other financial investments",49,25
2966,539,1,Male,White,12,Never married,0,W. nor. central,1,No,No,Graduate,Biological Sciences,58%+,468+,Public,25000,35,Working fulltime,0,Government,Executive offices and legislative bodies,83,NA
3590,888,2,Female,White,33,Married,50000,Mountain,1,NA,NA,Bachelor,Biological Sciences,0-39.9%,468+,Public,NA,84,Keeping house,0,Private,Real estate,58,28
3593,889,1,Male,White,27,Married,Big-city suburb,Pacific,1,No,No,Graduate,Biological Sciences,58%+,468+,Public,25000,46,Working fulltime,0,Government,U.s. armed forces/n.s.,76,NA
4045,1198,2,Male,Other,7,Never married,250000,Mountain,1,NA,NA,Bachelor,Biological Sciences,40-57.9%,468+,Public,15000,30,Working parttime,0,Private,Business support services,23,NA
4079,1237,2,Female,White,74,Married,250000,E. nor. central,1,NA,NA,Bachelor,Biological Sciences,40-57.9%,468+,Public,NA,1,Retired,0,Government,Elementary and secondary schools,88,44
4206,1377,2,Male,White,20,Married,50000,E. sou. central,1,No,No,Bachelor,Biological Sciences,40-57.9%,468+,Private,25000,73,Working fulltime,0,Government,National security and international affairs,75,NA
124,2123,2,Female,Other,15,Never married,250000,Foreign,1,NA,NA,Bachelor,Biological Sciences,58%+,468+,Private,20000,30,Working fulltime,0,Private,Non-depository credit and related activities,67,39
128,2145,1,Female,Black,28,Never married,250000,Middle atlantic,1,No,No,Bachelor,Biological Sciences,58%+,468+,Private,25000,35,Working fulltime,0,Government,Elementary and secondary schools,84,NA
302,569,2,Female,White,57,Divorced,NA,Middle atlantic,1,No,No,Bachelor,Biological Sciences,NA,468+,Private,10000,17,Working parttime,0,Private,"Residential care facilities, without nursing",31,74
407,1158,1,Female,White,8,Married,50000,Pacific,0,NA,NA,Bachelor,Biological Sciences,40-57.9%,468+,Public,NA,84,School,NA,NA,NA,1,NA
746,1849,2,Female,White,52,Married,50000,Middle atlantic,1,NA,NA,Bachelor,Biological Sciences,NA,NA,none,NA,1,Retired,0,Private,Insurance carriers and related activities,87,61
757,1855,2,Male,White,32,Married,50000,Middle atlantic,1,No,No,Bachelor,Biological Sciences,58%+,468+,Private,25000,46,Working fulltime,1,Private,"Accounting, tax preparation, bookkeeping, and payroll services",83,46
788,1872,2,Female,Black,53,Widowed,0,E. nor. central,1,NA,NA,Graduate,Biological Sciences,40-57.9%,468+,Public,15000,23,Working parttime,0,Private,Hospitals,84,47
819,1891,1,Female,White,31,Married,250000,Pacific,1,NA,NA,Bachelor,Biological Sciences,40-57.9%,468+,Public,NA,1,"Unempl, laid off",0,Private,Computer systems design and related services,70,NA
1198,2099,1,Female,White,18,Married,NA,E. nor. central,1,No,No,Bachelor,Biological Sciences,0-39.9%,468+,Private,25000,37,Working fulltime,0,Private,"Management, scientific, and technical consulting services",79,NA
1300,2157,2,Female,White,23,Never married,Big-city suburb,Middle atlantic,1,NA,NA,Graduate,Biological Sciences,58%+,468+,Public,25000,57,Working fulltime,0,Private,"Management, scientific, and technical consulting services",81,59
1364,2192,1,Male,Black,47,Married,0,E. sou. central,1,No,No,Bachelor,Biological Sciences,0-39.9%,468+,Private,25000,26,Working fulltime,0,Government,Elementary and secondary schools,28,NA
1660,2357,1,Female,Black,16,Never married,250000,New england,1,No,No,Junior college,Biological Sciences,40-57.9%,468+,Private,25000,41,Working fulltime,0,Private,Insurance carriers and related activities,80,NA
2179,103,1,Female,White,35,Separated,Big-city suburb,South atlantic,1,No,No,Junior college,Biological Sciences,NA,468+,Public,25000,84,Working fulltime,1,Private,Services to buildings and dwellings,13,NA
2265,151,1,Female,White,9,Married,NA,South atlantic,1,No,No,Bachelor,Business,40-57.9%,468+,Private,NA,35,Working fulltime,0,Government,Administration of human resource programs,1,NA
2655,367,2,Female,White,30,Married,Big-city suburb,E. nor. central,1,NA,NA,Bachelor,Social Sciences,40-57.9%,468+,Private,25000,46,Working fulltime,0,Private,Cut and sew apparel manufacturing,59,35
3453,812,1,Female,White,22,Married,NA,E. nor. central,1,NA,NA,Graduate,Multi-disciplinary/other,0-39.9%,468+,Private,NA,84,Keeping house,0,Government,Elementary and secondary schools,88,NA
3674,936,2,Female,White,7,Never married,Big-city suburb,E. nor. central,1,NA,NA,Bachelor,Multi-disciplinary/other,58%+,468+,Public,NA,84,School,NA,NA,NA,1,65
3891,1055,2,Male,White,65,Widowed,0,W. nor. central,1,NA,NA,Graduate,Multi-disciplinary/other,40-57.9%,468+,Public,NA,1,Retired,0,Government,"Colleges and universities, including junior colleges",81,48
4049,1203,2,Female,White,39,Married,0,E. nor. central,1,No,No,Graduate,Multi-disciplinary/other,NA,468+,Private,25000,40,Working fulltime,0,Government,Hospitals,3,61
1546,2293,2,Male,White,57,Never married,Big-city suburb,Middle atlantic,1,No,No,Graduate,Multi-disciplinary/other,58%+,468+,Private,25000,13,Working parttime,0,Private,Nail salons and other personal care services,59,28
644,1793,2,Male,White,45,Divorced,Big-city suburb,E. nor. central,1,NA,NA,Bachelor,Multi-disciplinary/other,58%+,468+,Private,NA,1,Retired,1,Private,"Securities, commodities, funds, trusts, and other financial investments",76,33
205,36,1,Female,White,74,Divorced,250000,Middle atlantic,1,NA,NA,Graduate,Multi-disciplinary/other,58%+,468+,Public,NA,84,Keeping house,0,Government,Administration of human resource programs,1,NA
700,1824,2,Female,White,25,Married,0,E. nor. central,1,No,No,Graduate,Multi-disciplinary/other,58%+,468+,Private,25000,35,Temp not working,0,Private,"Colleges and universities, including junior colleges",88,31
1278,2144,2,Female,Black,9,Never married,250000,Middle atlantic,1,NA,NA,Junior college,Multi-disciplinary/other,40-57.9%,468+,Public,10000,1,"Unempl, laid off",0,Private,Child day care services,68,25
1402,2214,2,Male,Black,22,Never married,50000,Middle atlantic,1,No,No,Graduate,Multi-disciplinary/other,58%+,468+,Private,25000,35,Working fulltime,0,Government,Elementary and secondary schools,72,45
1724,2392,2,Female,White,43,Never married,50000,Mountain,1,No,No,Graduate,Multi-disciplinary/other,58%+,468+,Public,25000,17,Working parttime,0,Government,Hospitals,80,38
2244,139,2,Male,Other,47,Married,250000,Pacific,0,NA,NA,Graduate,Multi-disciplinary/other,40-57.9%,468+,Public,NA,1,Retired,0,Government,Administration of human resource programs,80,31
2450,253,1,Female,White,53,Married,NA,W. nor. central,1,NA,NA,Bachelor,Multi-disciplinary/other,58%+,468+,Public,NA,1,Retired,0,Private,Individual and family services,80,NA
2482,271,2,Female,Black,45,Married,250000,E. sou. central,1,No,No,Graduate,Multi-disciplinary/other,58%+,468+,Public,25000,29,Working fulltime,1,Private,Individual and family services,76,47
2972,542,1,Female,White,47,Married,NA,W. nor. central,1,NA,NA,Bachelor,Social Sciences,40-57.9%,468+,Public,NA,1,Retired,0,Government,Administration of human resource programs,80,NA
2994,554,2,Female,White,33,Never married,Big-city suburb,Foreign,1,No,No,Graduate,Social Sciences,58%+,468+,Private,25000,24,Working fulltime,1,Private,Offices of other health practitioners,3,39
3140,636,1,Female,White,8,Never married,250000,Mountain,1,NA,NA,Junior college,Social Sciences,NA,468+,Public,15000,83,Working fulltime,0,Private, restaurants and other food services,18,NA
